CustomerID,Age,Annual Income (k$),Spending Score (1-100)
1,56,53,95
2,46,16,99
3,32,17,60
4,60,127,97
5,25,115,63
6,38,127,85
7,56,70,32
8,36,95,87
9,40,73,33
10,28,127,67
11,28,16,18
12,41,16,25
13,53,106,95
14,57,68,54
15,41,101,58
16,20,115,67
17,39,110,46
18,19,111,24
19,41,15,32
20,61,33,47
21,47,16,86
22,55,67,23
23,19,58,66
24,38,104,27
25,50,46,2
26,29,84,90
27,39,46,17
28,61,133,33
29,42,82,9
30,44,69,43
31,59,89,48
32,45,70,39
33,33,137,93
34,32,31,42
35,64,52,26
36,61,38,99
37,20,83,50
38,54,130,25
39,24,112,24
40,38,84,13
41,26,100,60
42,56,25,7
43,35,126,57
44,21,30,36
45,42,111,45
46,31,87,20
47,26,138,65
48,43,73,8
49,19,84,16
50,37,94,14
51,45,107,76
52,64,17,87
53,24,34,15
54,61,138,92
55,25,73,98
56,64,50,66
57,52,33,32
58,31,104,87
59,34,81,63
60,53,33,86
61,57,34,51
62,21,110,25
63,19,85,58
64,23,66,63
65,59,119,62
66,21,47,22
67,46,54,58
68,35,53,58
69,43,96,86
70,61,118,49
71,51,15,52
72,27,25,42
73,53,106,70
74,31,71,15
75,48,103,54
76,32,64,60
77,25,37,97
78,31,45,8
79,40,108,53
80,57,56,60
81,38,113,5
82,33,21,68
83,62,138,6
84,35,30,96
85,64,104,94
86,41,126,47
87,43,135,99
88,42,130,55
89,62,74,40
90,58,127,52
91,46,16,16
92,32,15,13
93,62,62,30
94,18,26,19
95,42,83,17
96,24,51,63
97,26,46,19
98,41,137,92
99,18,133,58
100,61,23,55
101,25,119,90
102,41,113,90
103,28,33,62
104,34,62,23
105,25,94,9
106,52,17,12
107,52,34,1
108,50,38,58
109,22,68,1
110,59,134,34
111,56,47,96
112,58,38,48
113,45,130,89
114,24,89,1
115,26,127,16
116,25,86,61
117,29,50,64
118,51,52,63
119,50,118,69
120,40,98,22
121,41,113,93
122,54,126,67
123,52,103,76
124,61,113,26
125,57,39,16
126,39,107,51
127,44,32,86
128,52,124,57
129,18,96,29
130,52,80,78
131,54,68,92
132,64,49,69
133,31,94,47
134,20,75,94
135,18,55,62
136,22,114,69
137,43,47,76
138,31,82,16
139,56,47,90
140,44,28,90
141,26,35,48
142,32,62,85
143,32,34,39
144,43,134,100
145,59,22,33
146,30,21,94
147,49,81,23
148,56,31,10
149,49,47,69
150,21,62,100
151,47,90,34
152,54,73,52
153,40,129,95
154,56,100,10
155,62,133,19
156,32,36,58
157,60,124,96
158,46,44,1
159,53,52,69
160,30,116,4
161,49,123,16
162,24,65,24
163,39,68,80
164,45,22,2
165,19,41,92
166,59,41,32
167,62,112,91
168,23,35,84
169,45,44,24
170,45,111,12
171,61,42,50
172,61,125,35
173,37,78,33
174,47,111,33
175,28,83,61
176,45,138,51
177,42,75,43
178,56,62,12
179,50,33,67
180,18,18,65
181,44,49,33
182,30,78,40
183,58,63,74
184,20,31,43
185,56,58,44
186,23,106,29
187,25,44,13
188,44,107,12
189,26,60,95
190,54,131,46
191,50,20,2
192,59,113,35
193,61,138,87
194,41,119,81
195,32,51,90
196,49,38,8
197,49,107,93
198,41,127,26
199,58,60,74
200,29,67,90
